Title,Type,BodyPart,Equipment,Level,BodyGroup,exercise_id,goal_tag,movement_type,equipment_std
Otis-Up,Strength,Abdominals,Other,Intermediate,Core,E00094,Endurance,Isolation,Other
Captain's chair knee raise,Strength,Abdominals,Other,Intermediate,Core,E00095,Endurance,Isolation,Other
Decline bar press sit-up,Strength,Abdominals,Barbell,Intermediate,Core,E00096,Hypertrophy,Compound,Barbell
Pallof press,Strength,Abdominals,Other,Intermediate,Core,E00097,FatLoss,Compound,Other
Weighted Sit-Ups - With Bands,Strength,Abdominals,Other,Intermediate,Core,E00098,Endurance,Isolation,Other
Suitcase crunch,Strength,Abdominals,Other,Intermediate,Core,E00099,Endurance,Isolation,Other
FYR Rope Jumping,Strength,Abdominals,Other,Intermediate,Core,E00100,FatLoss,Isolation,Other
Barbell press sit-up,Strength,Abdominals,Other,Intermediate,Core,E00101,Endurance,Compound,Other
Single-arm bent-over rear delt fly,Strength,Abdominals,Other,Intermediate,Core,E00102,FatLoss,Isolation,Other
Captain's chair leg raise,Strength,Abdominals,Other,Intermediate,Core,E00103,FatLoss,Isolation,Other
Shoulder-Elevated One-Leg Hip Thrusts,Strength,Abdominals,Other,Intermediate,Core,E00104,Endurance,Compound,Other
Ab Twist - Gethin Variation,Strength,Abdominals,Other,Intermediate,Core,E00105,FatLoss,Isolation,Other
Weighted Crunch - Gethin Variation,Strength,Abdominals,Other,Intermediate,Core,E00106,Endurance,Isolation,Other
Ab Wheel Roll-Out - Gethin Variation,Strength,Abdominals,Other,Intermediate,Core,E00107,Endurance,Isolation,Other
Bench crunch,Strength,Abdominals,Other,Intermediate,Core,E00108,FatLoss,Compound,Other
Decline plate sit-up twist,Strength,Abdominals,Other,Intermediate,Core,E00109,FatLoss,Isolation,Other
Reverse ab roll-out,Strength,Abdominals,Other,Intermediate,Core,E00110,FatLoss,Isolation,Other
30 Seated Twist With PVC Pipe,Strength,Abdominals,Other,Intermediate,Core,E00111,Endurance,Isolation,Other
Suspended crunch-,Strength,Abdominals,Other,Intermediate,Core,E00112,Endurance,Isolation,Other
Suspended oblique crunch,Strength,Abdominals,Other,Intermediate,Core,E00113,Endurance,Isolation,Other
Weighted sit-up,Strength,Abdominals,Other,Intermediate,Core,E00114,Endurance,Isolation,Other
30 Decline Press Sit-Up,Strength,Abdominals,Other,Intermediate,Core,E00115,Endurance,Compound,Other
Holman Towel Reverse Plank Alternating Heel Pull-in,Strength,Abdominals,Other,Intermediate,Core,E00116,FatLoss,Compound,Other
Holman Boat with Weighted Cross Punch,Strength,Abdominals,Other,Intermediate,Core,E00117,FatLoss,Isolation,Other
Holman Weighted Hook Punch,Strength,Abdominals,Other,Intermediate,Core,E00118,Endurance,Isolation,Other
Holman Weighted Traveling Punch,Strength,Abdominals,Other,Intermediate,Core,E00119,FatLoss,Isolation,Other
Holman Weighted Uppercut Punch,Strength,Abdominals,Other,Intermediate,Core,E00120,Endurance,Isolation,Other
Holman Slow Weighted Double Pike,Strength,Abdominals,Other,Intermediate,Core,E00121,Endurance,Isolation,Other
Holman Plate Straight Plank Reach,Strength,Abdominals,Other,Intermediate,Core,E00122,FatLoss,Isolation,Other
Holman Plate Elbow Plank Jack to Straight Plank Jack,Strength,Abdominals,Other,Intermediate,Core,E00123,Endurance,Isolation,Other
Holman Plate Hill Climber,Strength,Abdominals,Other,Intermediate,Core,E00124,Endurance,Isolation,Other
Holman Plate Reverse Plank Hill Climber,Strength,Abdominals,Other,Intermediate,Core,E00125,FatLoss,Isolation,Other
Holman Plate Straight Plank Pike to Jack,Strength,Abdominals,Other,Intermediate,Core,E00126,Endurance,Isolation,Other
Holman Plate In-and-Out Push-Up,Strength,Abdominals,Other,Intermediate,Core,E00127,Endurance,Compound,Other
Holman Plate Burpee,Strength,Abdominals,Other,Intermediate,Core,E00128,FatLoss,Isolation,Other
Holman Plate Elbow Plank Reach,Strength,Abdominals,Other,Intermediate,Core,E00129,FatLoss,Isolation,Other
Holman Elbow Plank to Renegade Row,Strength,Abdominals,Other,Intermediate,Core,E00130,FatLoss,Compound,Other
Holman Straight Plank Weighted Hand Hill Climber,Strength,Abdominals,Other,Intermediate,Core,E00131,FatLoss,Isolation,Other
Holman Weighted Left Side Diagonal Pike,Strength,Abdominals,Other,Intermediate,Core,E00132,Endurance,Isolation,Other
Holman Weighted Right Side Diagonal Pike,Strength,Abdominals,Other,Intermediate,Core,E00133,FatLoss,Isolation,Other
Holman Weighted W-Boat to Overhead Press,Strength,Abdominals,Other,Intermediate,Core,E00134,Endurance,Compound,Other
Holman Weighted Kneeling Lift,Strength,Abdominals,Other,Intermediate,Core,E00135,FatLoss,Isolation,Other
Holman Hips-Up Weighted Pull-Over,Strength,Abdominals,Other,Intermediate,Core,E00136,Endurance,Compound,Other
Holman Weighted Cross Punch,Strength,Abdominals,Other,Intermediate,Core,E00137,Endurance,Isolation,Other
Holman Straight-Leg Boat Hover Chest Press,Strength,Abdominals,Other,Intermediate,Core,E00138,FatLoss,Compound,Other
Holman Weighted Pike,Strength,Abdominals,Other,Intermediate,Core,E00139,Endurance,Isolation,Other
Holman Feet-Elevated Wax-On Wax-Off,Strength,Abdominals,Other,Intermediate,Core,E00140,Endurance,Isolation,Other
Holman Elbow Plank to Towel Pike,Strength,Abdominals,Other,Intermediate,Core,E00141,FatLoss,Isolation,Other
Holman Seated Killer Abs Overhead Press,Strength,Abdominals,Other,Intermediate,Core,E00142,FatLoss,Compound,Other
Holman Straight Plank Alternating Weighted Open,Strength,Abdominals,Other,Intermediate,Core,E00143,FatLoss,Isolation,Other
Holman Weighted Killer Abs with Overhead Press,Strength,Abdominals,Other,Intermediate,Core,E00144,Endurance,Compound,Other
Holman Weighted Split-Leg Pike,Strength,Abdominals,Other,Intermediate,Core,E00145,Endurance,Isolation,Other
Holman Towel Reverse Plank Heel Pull-in,Strength,Abdominals,Other,Intermediate,Core,E00146,FatLoss,Compound,Other
Stick Twist,Strength,Abdominals,Other,Intermediate,Core,E00147,Endurance,Isolation,Other
Standing cable low-to-high twist,Strength,Abdominals,Cable,Intermediate,Core,E00148,FatLoss,Isolation,Cable
